...1,Green.Space.5.mil,Green.Space.12.5.mil,Green.Space.25.mil,Temp.Redux.5.mil,Temp.Redux.12.5.mil,Temp.Redux.25.mil,BlockGroup,AvgReduxinNighttimeAnnualTemp_Celsius,PercentPopIncomeBelow2xPovertyLevel,Percent_GreenSpace,long,lat
1,67.9200551191333,67.9201815633455,86.873044744165,0.748617924167581,0.748619805593965,1.03062889267339,371000000000,0.847667,56.50623886,67.91999817,-78.88460488,36.02022844
2,73.3000461598138,73.3000990210914,73.3010590530402,0.828669489327046,0.828670275876313,0.828684560669637,371000000000,0.907226,42.75788348,73.30000305,-78.8838644,36.02885952
3,70.1200547316888,70.1201470242771,70.1236126185285,0.781352813687583,0.781354186954954,0.781405753257191,371000000000,0.825103,52.4137931,70.12000275,-78.90368904,36.02326272
4,65.3300439309842,65.3300934291119,65.3309614656885,0.710079858244401,0.710080594751686,0.710093510700067,371000000000,0.741116,41.38785626,65.33000183,-78.90122109,36.03312664
5,64.8400628797118,64.8403066973883,96.7158931705709,0.702789186242116,0.702792814126711,1.17708553473901,371000000000,0.742552,62.67837541,64.83999634,-78.88002715,36.00959211
6,63.530053209959,63.5301608540857,63.5380672920048,0.683296900168628,0.683298501859181,0.683416145685252,371000000000,0.690315,54.52436195,63.52999878,-78.89177338,36.00522303
7,75.8700373407422,75.8700674631449,75.870525914154,0.866909667595691,0.866910115801918,0.866916937322726,371000000000,0.960217,28.82797732,75.87000275,-78.89539737,36.00986406
8,60.0000316904551,60.0002342390015,84.9929210297792,0.630771952534675,0.630774966355337,1.00265359589465,371000000000,0.46284,62.7430911,43.97000122,-78.91069399,36.01965863
9,69.4800376493304,69.4800671126565,69.4805146170187,0.771829680882309,0.771830119281807,0.771836777922006,371000000000,0.861752,28.18897638,69.48000336,-78.9144127,36.01516696
10,72.1300296355056,72.1300554136439,72.1304427226059,0.811260230961168,0.811260614526923,0.811266377489792,371000000000,0.967994,24.01574803,72.12999725,-78.91467542,36.01156011
11,81.0200269048857,81.0200490441446,81.0203802328529,0.943538926277961,0.943539255699017,0.943544183620692,371000000000,1.049724,18.77934272,81.01999664,-78.90302361,36.01501127
12,76.5600390900091,76.5600868741941,76.5609100960768,0.877176547145104,0.877177258149782,0.877189507278021,371000000000,1.001626,40.60606061,76.55999756,-78.90378381,36.01146324
13,69.4000555902128,69.4001607775947,69.4070048464622,0.770639588005086,0.770641153140509,0.770742989448557,371000000000,0.901283,54.21760391,69.40000153,-78.9065127,36.00731602
14,72.1500286226256,72.1500459606674,72.1503079964686,0.811557805847159,0.811558063828515,0.811561962789657,371000000000,0.791461,9.309791332,72.15000153,-78.9270117,36.02498007
15,78.1400325177866,78.1400597233135,78.1404696680007,0.900686055967493,0.900686460772074,0.900692560543168,371000000000,0.964205,25.72178478,78.13999939,-78.92698965,36.01946431
16,65.610036503546,65.6100693724713,65.6105763627113,0.714246007127757,0.714246496200861,0.71425403996105,371000000000,0.527745,31.35435993,65.61000061,-78.9380664,36.02093514
17,60.0000102174969,60.0000563231135,60.0004992929672,0.630771633027839,0.630772319056263,0.630778910225251,371000000000,0.583461,34.79749002,51.41999817,-78.92812022,36.01248291
18,67.0006856145471,99.9670430051977,99.9996244375136,0.734938167594474,1.22546101173551,1.22594580708782,371000000000,0.699625,94.90131579,67,-78.9251309,36.00395296
19,66.8800353165208,66.8800733723172,66.8806786824863,0.733142951743567,0.733143517994709,0.733152524706073,371000000000,0.862927,35.24451939,66.87999725,-78.91797012,35.99957401
20,63.1700607973658,63.1702451705346,95.1720782192249,0.67794039383698,0.677943137217149,1.15411434347914,371000000000,0.700161,60.39325843,63.16999817,-78.91869384,35.99454215
21,66.1100727805032,66.1104572356522,98.3200690014769,0.721686295839069,0.721692016338635,1.20095486557692,371000000000,0.801081,65.52984166,66.11000061,-78.91985634,35.98927044
22,72.060066093077893,72.0603495215303,97.7125612651259,0.810219208581561,0.81022342585461,1.19191545551589,371000000000,0.887973,63.72575799,72.05999756,-78.92759374,35.97914725
23,75.710042145184,75.7100948625621,75.7110506873366,0.864529019426283,0.864529803834398,0.864544026027082,371000000000,0.973152,42.69911504,75.70999908,-78.93451135,35.98545882
24,90.6200272136121,90.6200414111733,90.6202587217908,1.08638211029704,1.08638232154962,1.08638555502248,371000000000,1.046455,0,90.62000275,-78.94435096,35.9901614
25,60.0000213718457,60.0001153871093,60.0038197797358,0.630771798998949,0.630773197898861,0.630828317401008,371000000000,0.405412,53.62731152,49.04000092,-78.90991749,35.99429973
26,84.3400246210827,84.3400437154412,84.3403302256658,0.99293882518073,0.992939109295196,0.992943372423469,371000000000,1.05485,13.1713555,84.33999634,-78.91283432,35.98182027
27,82.1500315201727,82.1500532207468,82.1503778381996,0.96035282752931,0.960353150422956,0.960357980567649,371000000000,1.056046,18.04961506,82.15000153,-78.91998861,35.97419721
28,65.8700707097659,65.8703421848666,97.199391596477,0.718115185541903,0.718119224955083,1.18427974853105,371000000000,0.714413,63.44086022,65.87000275,-78.88273371,35.99989799
29,61.6701010919276,90.2718146851282,99.9988881641247,0.655621746614609,1.08120088272574,1.22593485170951,371000000000,0.685738,75.61576355,61.66999817,-78.88940023,36.00001732
30,60.2200831650017,60.2214435582303,99.9774932092458,0.634046207978579,0.634066449946708,1.22561650552424,371000000000,0.604393,69.48640483,60.22000122,-78.88180753,35.99260041
31,64.290083606186,64.2917499777889,99.8667017578399,0.694605770820398,0.694630565593092,1.2239679843605,371000000000,0.755617,69.8212408,64.29000092,-78.87720685,35.98677939
32,60.0000501801864,62.7353838679872,92.9944506387347,0.630772227652591,0.671472619397885,1.12171233856231,371000000000,0.662885,71.90553746,58.29999924,-78.87317152,35.98005686
